Exit Velocity (MPH),Hits,BBE,"Average
Distance (ft)",AVG,wOBA,1B,2B,3B,HR,1B %,2B %,3B %,HR %
122,0,1,57,0,0,0,0,0,0,0,0,0,0
121,1,1,48,1,0.9,1,0,0,0,100,0,0,0
120,5,6,117,0.833,0.933,4,0,0,1,66.7,0,0,16.7
119,6,8,220,0.75,0.9,3,2,0,1,37.5,25,0,12.5
118,12,12,257,1,1.325,6,2,0,4,50,16.7,0,33.3
117,27,32,337,0.844,1.35,3,10,0,14,9.4,31.3,0,43.8
116,60,70,261,0.857,1.198,24,13,0,23,34.3,18.6,0,32.9
115,82,103,240,0.796,1.069,37,20,0,25,35.9,19.4,0,24.3
114,129,166,256,0.777,1.086,51,29,2,47,30.7,17.5,1.2,28.3
113,181,222,278,0.815,1.13,62,58,1,60,27.9,26.1,0.5,27
112,323,429,255,0.753,1.074,125,67,1,130,29.1,15.6,0.2,30.3
111,486,611,263,0.795,1.146,166,121,1,198,27.2,19.8,0.2,32.4
110,683,925,232,0.738,1.01,302,141,6,234,32.6,15.2,0.6,25.3
109,927,"1,316",234,0.704,0.976,374,215,11,327,28.4,16.3,0.8,24.8
108,"1,168","1,647",235,0.709,0.985,495,238,11,424,30.1,14.5,0.7,25.7
107,"1,348","1,977",227,0.682,0.937,569,304,22,453,28.8,15.4,1.1,22.9
106,"1,544","2,425",226,0.637,0.881,634,357,14,539,26.1,14.7,0.6,22.2
105,"1,842","2,865",228,0.643,0.867,809,429,33,571,28.2,15,1.2,19.9
104,"1,810","3,067",221,0.59,0.795,780,449,32,549,25.4,14.6,1,17.9
103,"1,845","3,341",216,0.552,0.729,867,413,54,511,26,12.4,1.6,15.3
102,"1,831","3,510",214,0.522,0.678,882,448,47,454,25.1,12.8,1.3,12.9
101,"1,718","3,711",209,0.463,0.584,885,425,40,368,23.8,11.5,1.1,9.9
100,"1,680","3,903",204,0.43,0.529,912,423,49,296,23.4,10.8,1.3,7.6
99,"1,510","3,866",202,0.391,0.473,859,370,45,236,22.2,9.6,1.2,6.1
98,"1,432","3,869",199,0.37,0.436,852,353,41,186,22,9.1,1.1,4.8
97,"1,312","3,819",199,0.344,0.391,823,331,36,122,21.6,8.7,0.9,3.2
96,"1,173","3,798",198,0.309,0.353,751,292,43,87,19.8,7.7,1.1,2.3
95,"1,033","3,857",192,0.268,0.298,708,234,25,66,18.4,6.1,0.6,1.7
94,893,"3,602",187,0.248,0.269,635,197,23,38,17.6,5.5,0.6,1.1
93,905,"3,482",186,0.26,0.276,666,191,17,31,19.1,5.5,0.5,0.9
92,818,"3,531",181,0.232,0.245,611,175,19,13,17.3,5,0.5,0.4
91,733,"3,324",179,0.221,0.228,577,136,9,11,17.4,4.1,0.3,0.3
90,755,"3,392",169,0.223,0.229,601,139,13,2,17.7,4.1,0.4,0.1
89,693,"3,130",171,0.221,0.228,562,114,13,4,18,3.6,0.4,0.1
88,573,"2,947",165,0.194,0.2,464,104,5,0,15.7,3.5,0.2,0
87,557,"2,844",160,0.196,0.204,443,107,7,0,15.6,3.8,0.2,0
86,535,"2,770",157,0.193,0.196,452,77,6,0,16.3,2.8,0.2,0
85,538,"2,657",154,0.202,0.21,438,93,7,0,16.5,3.5,0.3,0
84,491,"2,467",146,0.199,0.198,415,70,6,0,16.8,2.8,0.2,0
83,478,"2,414",144,0.198,0.205,393,76,9,0,16.3,3.1,0.4,0
82,470,"2,256",141,0.208,0.214,397,67,6,0,17.6,3,0.3,0
81,423,"2,185",137,0.194,0.202,354,65,4,0,16.2,3,0.2,0
80,422,"2,043",137,0.207,0.204,374,48,0,0,18.3,2.3,0,0
79,452,"2,053",135,0.22,0.218,404,47,1,0,19.7,2.3,0,0
78,387,"1,928",126,0.201,0.203,344,40,3,0,17.8,2.1,0.2,0
